instance,improvement,sol(keuro),cplex_time,status,y_memAvg(MB),y_time(sec),y_sol(keuro),y_nTraces,y_memAvg(MB) %,y_time(sec) %,,PV_mean,PV_std,Load_mean,Load_std,baseline_memAvg(MB),baseline_time(sec),,baseline_memAvg(MB),baseline_time(sec)
0,0.02,368.67,0.1277,integer optimal solution,396.82,18.39,308.31,3,0.1254,0.0582,,271.11,279.88,318.33,170.15,49.77,1.07,,49.77,1.07
0,0.05,357.38,0.1291,integer optimal solution,396.82,18.39,308.31,3,0.1254,0.0582,,,,,,,,,49.77,1.07
0,0.07,349.86,0.1280,integer optimal solution,396.82,18.39,308.31,3,0.1254,0.0582,,,,,,,,,49.77,1.07
0,0.10,338.57,0.1290,integer optimal solution,396.82,18.39,308.31,3,0.1254,0.0582,,,,,,,,,49.77,1.07
0,0.12,331.05,0.1293,integer optimal solution,396.82,18.39,308.31,3,0.1254,0.0582,,,,,,,,,49.77,1.07
0,0.15,319.76,0.1209,integer optimal solution,396.82,18.39,308.31,3,0.1254,0.0582,,,,,,,,,49.77,1.07
0,0.17,312.24,0.1155,integer optimal solution,396.82,18.39,308.31,3,0.1254,0.0582,,,,,,,,,49.77,1.07
0,0.20,300.95,0.1222,No solution,,,,,,,,,,,,,,,49.77,1.07
1,0.02,401.28,0.1327,integer optimal solution,88.92,6.93,386.88,1,0.5607,0.2034,,269.86,277.66,324.43,176.99,49.86,1.41,,49.86,1.41
1,0.05,389.00,0.1352,integer optimal solution,88.92,6.93,386.88,1,0.5607,0.2034,,,,,,,,,49.86,1.41
1,0.07,380.81,0.1359,integer optimal solution,396.82,18.39,316.73,3,0.1256,0.0767,,,,,,,,,49.86,1.41
1,0.10,368.52,0.1362,integer optimal solution,396.82,18.39,316.73,3,0.1256,0.0767,,,,,,,,,49.86,1.41
1,0.12,360.33,0.1356,integer optimal solution,396.82,18.39,316.73,3,0.1256,0.0767,,,,,,,,,49.86,1.41
1,0.15,348.05,0.1521,integer optimal solution,396.82,18.39,316.73,3,0.1256,0.0767,,,,,,,,,49.86,1.41
1,0.17,339.86,0.1311,integer optimal solution,396.82,18.39,316.73,3,0.1256,0.0767,,,,,,,,,49.86,1.41
1,0.20,327.58,0.1275,integer optimal solution,396.82,18.39,316.73,3,0.1256,0.0767,,,,,,,,,49.86,1.41
1,0.22,319.39,0.1275,integer optimal solution,396.82,18.39,316.73,3,0.1256,0.0767,,,,,,,,,49.86,1.41
1,0.25,307.10,0.1201,No solution,,,,,,,,,,,,,,,49.86,1.41
2,0.02,399.96,0.1341,integer optimal solution,88.92,6.93,374.97,1,0.5611,0.1933,,267.45,276.59,322.36,174.04,49.89,1.34,,49.89,1.34
2,0.05,387.71,0.1337,integer optimal solution,88.92,6.93,374.97,1,0.5611,0.1933,,,,,,,,,49.89,1.34
2,0.07,379.55,0.1354,integer optimal solution,88.92,6.93,374.97,1,0.5611,0.1933,,,,,,,,,49.89,1.34
2,0.10,367.31,0.1362,integer optimal solution,251.78,12.22,366.52,2,0.1982,0.1096,,,,,,,,,49.89,1.34
2,0.12,359.15,0.1369,integer optimal solution,396.82,18.39,321.97,3,0.1257,0.0728,,,,,,,,,49.89,1.34
2,0.15,346.90,0.1408,integer optimal solution,396.82,18.39,321.97,3,0.1257,0.0728,,,,,,,,,49.89,1.34
2,0.17,338.74,0.1439,integer optimal solution,396.82,18.39,321.97,3,0.1257,0.0728,,,,,,,,,49.89,1.34
2,0.20,326.50,0.1433,integer optimal solution,396.82,18.39,321.97,3,0.1257,0.0728,,,,,,,,,49.89,1.34
2,0.22,318.33,0.1351,integer optimal solution,3958.81,601.21,305.72,31,0.0126,0.0022,,,,,,,,,49.89,1.34
2,0.25,306.09,0.1354,integer optimal solution,3958.81,601.21,305.72,31,0.0126,0.0022,,,,,,,,,49.89,1.34
2,0.27,297.93,0.1303,integer optimal solution,6849.40,2936.65,295.38,72,0.0073,0.0005,,,,,,,,,49.89,1.34
2,0.30,285.68,0.1225,No solution,,,,,,,,,,,,,,,49.89,1.34
3,0.02,371.32,0.1156,integer optimal solution,3801.91,788.73,355.33,36,0.0131,0.0017,,270.67,279.47,318.44,170.88,49.95,1.38,,49.95,1.38
3,0.05,359.96,0.1125,integer optimal solution,3801.91,788.73,355.33,36,0.0131,0.0017,,,,,,,,,49.95,1.38
3,0.07,352.38,0.0822,No solution,,,,,,,,,,,,,,,49.95,1.38
4,0.02,387.94,0.1343,integer optimal solution,541.70,25.37,383.43,4,0.0925,0.0497,,270.19,277.39,321.66,173.31,50.11,1.26,,50.11,1.26
4,0.05,376.07,0.1331,integer optimal solution,1388.64,104.45,325.44,11,0.0361,0.0121,,,,,,,,,50.11,1.26
4,0.07,368.15,0.1378,integer optimal solution,1388.64,104.45,325.44,11,0.0361,0.0121,,,,,,,,,50.11,1.26
4,0.10,356.27,0.1369,integer optimal solution,1388.64,104.45,325.44,11,0.0361,0.0121,,,,,,,,,50.11,1.26
4,0.12,348.36,0.1376,integer optimal solution,1388.64,104.45,325.44,11,0.0361,0.0121,,,,,,,,,50.11,1.26
4,0.15,336.48,0.1444,integer optimal solution,1388.64,104.45,325.44,11,0.0361,0.0121,,,,,,,,,50.11,1.26
4,0.17,328.56,0.1370,integer optimal solution,1388.64,104.45,325.44,11,0.0361,0.0121,,,,,,,,,50.11,1.26
4,0.20,316.69,0.1300,No solution,,,,,,,,,,,,,,,50.11,1.26
5,0.02,396.33,0.1302,integer optimal solution,1532.98,120.01,378.56,12,0.0327,0.0111,,269.76,279.49,323.94,173.60,50.14,1.33,,50.14,1.33
5,0.05,384.20,0.1312,integer optimal solution,1532.98,120.01,378.56,12,0.0327,0.0111,,,,,,,,,50.14,1.33
5,0.07,376.11,0.1257,integer optimal solution,6849.40,2936.65,365.23,72,0.0073,0.0005,,,,,,,,,50.14,1.33
5,0.10,363.98,0.0813,No solution,,,,,,,,,,,,,,,50.14,1.33
6,0.02,404.66,0.1347,integer optimal solution,3240.47,439.59,393.93,26,0.0155,0.0029,,269.46,278.54,325.92,174.24,50.19,1.28,,50.19,1.28
6,0.05,392.27,0.1364,integer optimal solution,4276.22,672.11,370.07,33,0.0117,0.0019,,,,,,,,,50.19,1.28
6,0.07,384.02,0.1571,integer optimal solution,4276.22,672.11,370.07,33,0.0117,0.0019,,,,,,,,,50.19,1.28
6,0.10,371.63,0.1415,integer optimal solution,4276.22,672.11,370.07,33,0.0117,0.0019,,,,,,,,,50.19,1.28
6,0.12,363.37,0.1310,integer optimal solution,3897.04,830.83,348.45,37,0.0129,0.0015,,,,,,,,,50.19,1.28
6,0.15,350.98,0.1308,integer optimal solution,3897.04,830.83,348.45,37,0.0129,0.0015,,,,,,,,,50.19,1.28
6,0.17,342.72,0.1055,integer optimal solution,7474.56,3013.23,339.12,73,0.0067,0.0004,,,,,,,,,50.19,1.28
6,0.20,330.34,0.0841,No solution,,,,,,,,,,,,,,,50.19,1.28
